symbol,token,name
FACT,1008,FACT
RADHIKAJWE,10343,RADHIKAJWE
FINPIPE,1041,FINPIPE
DYCL,10417,DYCL
SATIN,10453,SATIN
MUTHOOTCAP,10415,MUTHOOTCAP
ARVSMART,10457,ARVSMART
NIFTYBEES,10576,NIFTYBEES
MARKSANS,10579,MARKSANS
MPSLTD,10578,MPSLTD
TCI,10580,TCI
ASAL,10634,ASAL
APTECHT,10755,APTECHT
SYRMA,10793,SYRMA
RADICO,10990,RADICO
INDORAMA,10993,INDORAMA
HARSHA,11162,HARSHA
SHK,11212,SHK
JAIBALAJI,11256,JAIBALAJI
VARDHACRLC,11220,VARDHACRLC
APOLLO,1134,APOLLO
AFFLE,11343,AFFLE
TIPSFILMS,11374,TIPSFILMS
RKFORGE,11411,RKFORGE
BANKBEES,11439,BANKBEES
TCS,11536,TCS
COFORGE,11543,COFORGE
DCI,11566,DCI
TRACXN,11582,TRACXN
HDFCSENSEX,11593,HDFCSENSEX
NEWGEN,1164,NEWGEN
LALPATHLAB,11654,LALPATHLAB
PATELENG,11699,PATELENG
SUKHJITS,11804,SUKHJITS
GOYALALUM,11787,GOYALALUM
HPIL,11796,HPIL
FMGOETZE,1190,FMGOETZE
PRIMESECU,11864,PRIMESECU
DCXINDIA,11895,DCXINDIA
BIKAJI,11966,BIKAJI
FUSION,11932,FUSION
BASML,12034,BASML
AAATECH,12533,AAATECH
FINIETF,12578,FINIETF
NPBET,12978,NPBET
ABB,13,ABB
SAFARI,13035,SAFARI
TRIVENI,13081,TRIVENI
NAHARINDUS,13106,NAHARINDUS
HDFCBANK,1333,HDFCBANK
KFINTECH,13359,KFINTECH
BHAGERIA,13400,BHAGERIA
PFOCUS,13496,PFOCUS
BANKETFADD,13644,BANKETFADD
GMRAIRPORT,13528,GMRAIRPORT
HIMATSEIDE,1360,HIMATSEIDE
HINDCOMPOS,1372,HINDCOMPOS
NAUKRI,13751,NAUKRI
BBL,13761,BBL
SOBHA,13826,SOBHA
PRAENG,13941,PRAENG
AUTOIND,14106,AUTOIND
REDINGTON,14255,REDINGTON
HINDZINC,1424,HINDZINC
SEQUENT,14296,SEQUENT
PGIL,14260,PGIL
IDEA,14366,IDEA
AMDIND,14398,AMDIND
LEXUS,14459,LEXUS
BIRLANU,1455,BIRLANU
SYNGENE,10243,SYNGENE
AYMSYNTEX,10285,AYMSYNTEX
PKTEA,10321,PKTEA
FINCABLES,1038,FINCABLES
LUPIN,10440,LUPIN
UNITDSPR,10447,UNITDSPR
GUJGASLTD,10599,GUJGASLTD
TIMESGTY,10717,TIMESGTY
UNIONBANK,10753,UNIONBANK
GABRIEL,1085,GABRIEL
TMB,10945,TMB
LIBAS,11082,LIBAS
SATIA,11045,SATIA
LICNETFN50,11319,LICNETFN50
MAHABANK,11377,MAHABANK
VAIBHAVGBL,11364,VAIBHAVGBL
TTKHLTCARE,11369,TTKHLTCARE
PVTBANIETF,11386,PVTBANIETF
CCL,11452,CCL
NDTV,11427,NDTV
NV20,11457,NV20
ULTRACEMCO,11532,ULTRACEMCO
AMBICAAGAR,11496,AMBICAAGAR
LINCOLN,11596,LINCOLN
GNFC,1174,GNFC
SURYALAXMI,11852,SURYALAXMI
GOKEX,11778,GOKEX
KANSAINER,1196,KANSAINER
FAZE3Q,12000,FAZE3Q
HDFCPVTBAN,12108,HDFCPVTBAN
SWSOLAR,12489,SWSOLAR
HYBRIDFIN,12809,HYBRIDFIN
KRISHANA,12847,KRISHANA
ENIL,13192,ENIL
KEC,13260,KEC
CENTURYPLY,13305,CENTURYPLY
MALUPAPER,13352,MALUPAPER
AKASH,13510,AKASH
MANUGRAPH,13572,MANUGRAPH
HOVS,13592,HOVS
SKYGOLD,13631,SKYGOLD
NRL,13675,NRL
GLOBALVECT,13735,GLOBALVECT
GREENPANEL,13810,GREENPANEL
JINDRILL,13875,JINDRILL
BANCOINDIA,13880,BANCOINDIA
AVTNPL,14008,AVTNPL
BTML,14150,BTML
HDFCSML250,14233,HDFCSML250
GODREJAGRO,144,GODREJAGRO
EMBDL,14450,EMBDL
PPL,10297,PPL
JISLJALEQS,10397,JISLJALEQS
MOHEALTH,10508,MOHEALTH
CONS,10512,CONS
MOM30IETF,10585,MOM30IETF
SHREEPUSHK,10588,SHREEPUSHK
NAVKARCORP,10557,NAVKARCORP
BHARTIARTL,10604,BHARTIARTL
SADBHIN,10618,SADBHIN
NIFTYQLITY,10690,NIFTYQLITY
PONNIERODE,10661,PONNIERODE
SPORTKING,10733,SPORTKING
ZENSARTECH,1076,ZENSARTECH
GENESYS,10905,GENESYS
GRMOVER,10871,GRMOVER
OMAXAUTO,10922,OMAXAUTO
GODREJIND,10925,GODREJIND
STCINDIA,10948,STCINDIA
IDFCFIRSTB,11184,IDFCFIRSTB
SUVEN,11233,SUVEN
UCOBANK,11223,UCOBANK
DHANBANK,11359,DHANBANK
UMANGDAIRY,11387,UMANGDAIRY
SIL,11297,SIL
SUPRAJIT,11689,SUPRAJIT
JSWSTEEL,11723,JSWSTEEL
ALLDIGI,11798,ALLDIGI
SSWL,11829,SSWL
WELCORP,11821,WELCORP
VHL,11892,VHL
63MOONS,11868,63MOONS
GOLDIAM,11971,GOLDIAM
RML,11975,RML
SUZLON,12018,SUZLON
HDFCNIFIT,12101,HDFCNIFIT
INOXGREEN,12188,INOXGREEN
GRASIM,1232,GRASIM
TEAMLEASE,12716,TEAMLEASE
IIFLCAPS,13072,IIFLCAPS
REPRO,13126,REPRO
GALAXYSURF,1315,GALAXYSURF
M&MFIN,13285,M&MFIN
NITCO,13300,NITCO
GALLANTT,13337,GALLANTT
PIONEEREMB,13463,PIONEEREMB
EMAMILTD,13517,EMAMILTD
NECCLTD,13522,NECCLTD
VIDHIING,13536,VIDHIING
ACLGATI,13688,ACLGATI
INSPIRISYS,13730,INSPIRISYS
GTLINFRA,13745,GTLINFRA
GESHIP,13776,GESHIP
NFL,13925,NFL
TANLA,13976,TANLA
CONFIPET,10238,CONFIPET
HINDUNILVR,1394,HINDUNILVR
VEEDOL,14019,VEEDOL
ZEEMEDIA,14003,ZEEMEDIA
GLOBAL,1415,GLOBAL
IGPL,14086,IGPL
TVSSRICHAK,14245,TVSSRICHAK
GOLDETF,14286,GOLDETF
GANESHHOUC,14339,GANESHHOUC
MNC,10676,MNC
LAOPALA,14423,LAOPALA
NAHARSPING,14440,NAHARSPING
NAHARPOLY,14445,NAHARPOLY
GVPTECH,10865,GVPTECH
SIRCA,11050,SIRCA
NSIL,11239,NSIL
JSL,11236,JSL
ZOTA,11394,ZOTA
POONAWALLA,11403,POONAWALLA
DATAMATICS,11423,DATAMATICS
TEXINFRA,11549,TEXINFRA
FORCEMOT,11573,FORCEMOT
INDSWFTLTD,11602,INDSWFTLTD
GULFPETRO,11581,GULFPETRO
PPLPHARMA,11571,PPLPHARMA
XCHANGING,11705,XCHANGING
IIFL,11809,IIFL
NECLIFE,11927,NECLIFE
YESBANK,11915,YESBANK
MANINDS,11884,MANINDS
IMPAL,12009,IMPAL
FCSSOFT,11999,FCSSOFT
SASKEN,11983,SASKEN
SCPL,12072,SCPL
RUSTOMJEE,12219,RUSTOMJEE
PRECAM,12603,PRECAM
AMBUJACEM,1270,AMBUJACEM
GUJALKALI,1267,GUJALKALI
SCHAEFFLER,1011,SCHAEFFLER
KAYA,10276,KAYA
AURUM,10310,AURUM
STEELCITY,10406,STEELCITY
KSHITIJPOL,10407,KSHITIJPOL
SHARDAMOTR,10530,SHARDAMOTR
HDFCNIF100,10633,HDFCNIF100
HDFCSILVER,10876,HDFCSILVER
MARUTI,10999,MARUTI
LIQUIDBEES,11006,LIQUIDBEES
GARFIBRES,1100,GARFIBRES
HDFCQUAL,11255,HDFCQUAL
GHCL,1127,GHCL
TVSELECT,11265,TVSELECT
MUKANDLTD,11325,MUKANDLTD
GTECJAINX,1129,GTECJAINX
UPL,11287,UPL
PTC,11355,PTC
EXCELINDUS,11471,EXCELINDUS
GLAXO,1153,GLAXO
